publisher_id,publisher_name
998,다산초당(다산북스)
999,엠앤브이
1000,Pebble Books
1001,Abdo Zoom
1002,Pop!
1003,소후
1004,제이앤씨
1005,다산책방
1006,더시드컴퍼니
1007,三民書局
1008,厦门大学出版社
1009,상무인서관 商務印書館
1010,Thomas & Mercer
1011,Minotaur Books
1012,Berkley Books
1013,MACMILLAN USA INTERNATIONAL ED
1014,HarperPerennial
1015,KNIGHTS OF PUBLISHING
1016,Harper Teen
1017,책과나무
1018,작가와비평
1019,도서출판 우공이산
1020,스토링
1021,지경사
1022,시대고시기획
1023,페스트북
1024,키메이커
1025,케미캡쳐
1026,건우미디어
1027,꿈구두
1028,북팟
1029,좋은서가
1030,부크크(Bookk)
1031,진태출판사
1032,미디어북
1033,책읽는여우
1034,에듀씨코리아
1035,북레일
1036,토씨
1037,나눔재무설계연구소
1038,엔스타일
1039,아슬란북스
1040,포레스트웨일
1041,릴리북스
1042,생각나눔
1043,르몽드디플로마티크
1044,오다(ODA)
1045,움(도서출판)
1046,와이드미디어
1047,스튜디오 A(STUDIO A)
1048,인포(INFO)
1049,SM LDG
1050,유케이미디어
1051,한국영상자료원
1052,아라미디어
1053,에프엔씨애드컬쳐
1054,제이브로
1055,태흥영화사
1056,알스컴퍼니
1057,월트디즈니
1058,파라마운트
1059,힘북스(HIMBOOKS)
1060,모두의책
1061,책과이음
1062,북포어스
1063,Large Print Press
1064,J P Tarcher
1065,"Jabberwocky Literary Agency, Inc."
1066,InfinityBox Press
1067,해시태그(Hashtag)
1068,비(도서출판b)
1069,이한출판사
1070,가톨릭출판사
1071,공간예술사
1072,御茶の水書房
1073,芳賀書店
1074,小學館
1075,新泉社
1076,径書房
1077,國際文化交流推進協會
1078,高文硏
1079,PHP硏究所
1080,海龍社
1081,弓立社
1082,吉川弘文館
1083,山川出版社
1084,靑木書店
1085,社會思想社
1086,せりか書房
1087,中央法規
1088,黎明書房
1089,三一書房
1090,岩田書院
1091,영진닷컴
1092,무한
1093,삼선
1094,태동출판사
1095,웅보출판사
1096,쿰란출판사
1097,화광신문사
1098,청솔
1099,비비컴
1100,가남사
1101,예문당
1102,동화사
1103,태서출판사
1104,푸른책들
1105,꼬마나라
1106,서울문화사
1107,탐진
1108,군자출판사
1109,시대의창
1110,국민출판사
1111,현대음악출판사
1112,신영미디어
1113,평민사
1114,국립재활원 재활연구소
1115,성지애드컴
1116,예수전도단
1117,깊은솔
1118,생각의 나무
1119,푸른역사
1120,기전연구사
1121,마당넓은집
1122,집사재
1123,은하출판사
1124,정보문화사
1125,東寶
1126,고요한 소리
1127,국학자료원
1128,보성각
1129,有斐閣
1130,ドメス出版
1131,ミネルヴァ書房
1132,公人の友社
1133,筒井書房
1134,中央法規出版
1135,誠信書房
1136,筑摩書房
1137,法律文化社
1138,人間の科學新社
1139,東洋經濟新報社
1140,岩波書店
1141,信山社
1142,早稻田大學出版部
1143,生産性出版
1144,新世社
1145,日本評論社
1146,日本經濟評論社
1147,創文閣
1148,밝은세상
1149,태을출판사
1150,창조문화
1151,좋은책
1152,꿈이있는 집
1153,바이오프레스
1154,기한재
1155,現代知能開發社
1156,현대문화센타
1157,박문각
1158,慶應義塾大學出版會
1159,東京書籍
1160,通商産業調査會出版部
1161,南窓社
1162,大月書店
1163,社会評論社
1164,全國農村敎育協會
1165,中央硏究院近代史硏究所
1166,高雄市立美術館
1167,聯經
1168,蕙風堂
1169,國立臺灣藝術敎育館
1170,中央硏究院臺灣史硏究所籌備處
1171,雄獅圖書
1172,日本図書センター
1173,和泉書院
1174,インパクト出版會
1175,蒼丘書林
1176,勉誠出版
1177,三元社
1178,혜안
1179,만파
1180,수문사
1181,이레
1182,웅비미디어
1183,가각본
1184,좋은씨앗
1185,동국대학교 출판부
1186,성서유니온선교회
1187,경북외국어(테크노)대학출판부
1188,선문대학교출판부
1189,진솔북스
1190,새롬
1191,약업신문
1192,韓成出版社
1193,정자나무
1194,대광서림
1195,솔
1196,실천문학
1197,オーム社
1198,芸團協出版部
1199,平凡社
1200,若草書房
1201,靑春出版社
1202,風響社
1203,光生館
1204,世界思想社
1205,人文書院
1206,松江今井書店
1207,幹書房
1208,朝日新聞社
1209,한국교육미디어
1210,致知出版社
1211,龍械書斜
1212,同成社
1213,白帝社
1214,大空社
1215,엔지니어즈
1216,마이코 인터내셔날
1217,친구미디어
1218,대림
1219,기독교문서선교회
1220,세창출판사
1221,多賀出版
1222,未來社
1223,川島書店
1224,東京大學出版會
1225,高文堂出版社
1226,東京法令出版
1227,明石書店
1228,學芸出版社
1229,學文社
1230,東信堂
1231,福村出版
1232,麗文文化事業股彬有限公司
1233,凡人社
1234,ジャパンタイムズ
1235,大修館書店
1236,明治書院
1237,くろしお出版
1238,皓星社
1239,稅務經理協會
1240,同友館
1241,씽크북
1242,영언문화사
1243,아름다운날
1244,국일증권경제연구소
1245,신광출판사
1246,韓國稅務經營社
1247,국일미디어
1248,사람과책
1249,한국산업인력공단
1250,대명종
1251,신원문화사
1252,세창
1253,삼양출판사
1254,白水社
1255,名古屋大學出版會
1256,叢文社
1257,慶友社
1258,柏書房
1259,조선일보사출판국
1260,바오로딸
1261,가림M&B
1262,일진사
1263,法理社
1264,민미디어
1265,南天書局
1266,영림카디널
1267,글사랑
1268,南天書局有限公司
1269,自治體硏究社
1270,草思社
1271,新日本出版社
1272,一藝社
1273,有信堂
1274,ぎょうせい
1275,法政大學出版局
1276,敬文堂
1277,청수서원
1278,현실과 미래사
1279,秀文堂
1280,새로운사람들
1281,필문당
1282,솔출판사
1283,생명의 말씀사
1284,문경출판사
1285,금융경제연수사
1286,삼각형북스
1287,글로발문화원
1288,정훈사
1289,사이버출판사
1290,예지각
1291,會經社
1292,小花
1293,거름
1294,바울
1295,파란
1296,생명의말씀사
1297,한국산업인력공단 중앙고용정보원
1298,한빛미디어
1299,아카데미서적
1300,해문출판사
1301,대현문화사
1302,국제제자훈련원
1303,북스힐
1304,삼성경제연구소
1305,일빛
1306,지음
1307,한벼리
1308,한국전산원
1309,테크북
1310,중원사
1311,한국농어민신문
1312,청동거울
1313,웅진닷컴
1314,한국아동교육원
1315,한국도서관협회
1316,日外アソシエーツ
1317,東京堂出版
1318,メジカルビュー社
1319,朝倉書店
1320,ほおずき書籍
1321,경남발전연구원
1322,卜問
1323,솔과학
1324,보이스사
1325,형설출판사
1326,조경
1327,서우
1328,한국전자통신연구원
1329,인포·북
1330,한서원
1331,영문
1332,유한문화사
1333,博英社
1334,義濟
1335,노량진정진
1336,홍문서관
1337,인솔미디어
1338,원미사
1339,골든 벨
1340,분도출판사
1341,靑山出版社
1342,淸文堂
1343,新典社
1344,文芸春秋
1345,미래문화사
1346,화산문화
1347,KSA한국표준협회
1348,淸文閣
1349,남양문화
1350,世宗硏究所
1351,한국역리철학
1352,성서침례출판사
1353,노벨
1354,한국페스탈로치
1355,對外經濟政策硏究院
1356,예맥
1357,세종연구소
1358,매니아
1359,죠이선교회출판부
1360,소명출판
1361,서해문집
1362,정신세계사
1363,연세대학교 출판부
1364,講談社
1365,女子パウロ會
